,title,studio,domestic_gross,foreign_gross,year
0,Toy Story 3,BV,415000000,652000000,2010-01-01
1,Alice in Wonderland (2010),BV,334200000,691300000,2010-01-01
2,Harry Potter and the Deathly Hallows Part 1,WB,296000000,664300000,2010-01-01
3,Inception,WB,292600000,535700000,2010-01-01
4,Shrek Forever After,P/DW,238700000,513900000,2010-01-01
5,The Twilight Saga: Eclipse,Sum.,300500000,398000000,2010-01-01
6,Iron Man 2,Par.,312400000,311500000,2010-01-01
7,Tangled,BV,200800000,391000000,2010-01-01
8,Despicable Me,Uni.,251500000,291600000,2010-01-01
9,How to Train Your Dragon,P/DW,217600000,277300000,2010-01-01
10,Clash of the Titans (2010),WB,163200000,330000000,2010-01-01
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000,311300000,2010-01-01
12,The King's Speech,Wein.,135500000,275400000,2010-01-01
13,Tron Legacy,BV,172100000,228000000,2010-01-01
14,The Karate Kid,Sony,176600000,182500000,2010-01-01
15,Prince of Persia: The Sands of Time,BV,90800000,245600000,2010-01-01
16,Black Swan,FoxS,107000000,222400000,2010-01-01
17,Megamind,P/DW,148400000,173500000,2010-01-01
18,Robin Hood,Uni.,105300000,216400000,2010-01-01
19,The Last Airbender,Par.,131800000,187900000,2010-01-01
20,Little Fockers,Uni.,148400000,162200000,2010-01-01
21,Resident Evil: Afterlife,SGem,60100000,240100000,2010-01-01
22,Shutter Island,Par.,128000000,166800000,2010-01-01
23,Salt,Sony,118300000,175200000,2010-01-01
24,Sex and the City 2,WB (NL),95300000,193000000,2010-01-01
25,The Tourist,Sony,67600000,210700000,2010-01-01
26,The Expendables,LGF,103100000,171400000,2010-01-01
27,Grown Ups,Sony,162000000,109400000,2010-01-01
28,Knight & Day,Fox,76400000,185500000,2010-01-01
29,True Grit,Par.,171200000,81000000,2010-01-01
30,Gulliver's Travels,Fox,42800000,194600000,2010-01-01
31,Percy Jackson & The Olympians: The Lightning Thief,Fox,88800000,137700000,2010-01-01
32,The Social Network,Sony,97000000,128000000,2010-01-01
33,Valentine's Day,WB (NL),110500000,106000000,2010-01-01
34,The Sorcerer's Apprentice,BV,63200000,152100000,2010-01-01
35,Due Date,WB,100500000,111200000,2010-01-01
36,Eat Pray Love,Sony,80600000,124000000,2010-01-01
37,Yogi Bear,WB,100200000,101300000,2010-01-01
38,Red,Sum.,90400000,108600000,2010-01-01
39,Paranormal Activity 2,Par.,84800000,92800000,2010-01-01
40,The A-Team,Fox,77200000,100000000,2010-01-01
41,Jackass 3-D,Par.,117200000,54500000,2010-01-01
42,The Other Guys,Sony,119200000,51200000,2010-01-01
43,Unstoppable,Fox,81600000,86200000,2010-01-01
44,Step Up 3-D,BV,42400000,116900000,2010-01-01
45,The Book of Eli,WB,94800000,62300000,2010-01-01
46,The Town,WB,92200000,61800000,2010-01-01
47,Date Night,Fox,98700000,53600000,2010-01-01
48,Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000,84400000,2010-01-01
49,The Wolfman,Uni.,62000000,77800000,2010-01-01
50,The Bounty Hunter,Sony,67099999,69300000,2010-01-01
51,Saw 3D,LGF,45700000,90400000,2010-01-01
52,Wall Street: Money Never Sleeps,Fox,52500000,82300000,2010-01-01
53,The Fighter,Par.,93600000,35600000,2010-01-01
54,Predators,Fox,52000000,75200000,2010-01-01
55,A Nightmare on Elm Street (2010),WB (NL),63100000,52600000,2010-01-01
56,Dear John,SGem,80000000,35000000,2010-01-01
57,Cats & Dogs: The Revenge of Kitty Galore,WB,43600000,68900000,2010-01-01
58,Tooth Fairy,Fox,60000000,52400000,2010-01-01
59,Life as We Know It,WB,53400000,52300000,2010-01-01
60,Hereafter,WB,32700000,72500000,2010-01-01
61,The Girl with the Dragon Tattoo,MBox,10100000,94300000,2010-01-01
62,Love and Other Drugs,Fox,32400000,70500000,2010-01-01
63,Aftershock (Tangshan Dadizhen),CL,63000,100200000,2010-01-01
64,Killers,LGF,47100000,51100000,2010-01-01
65,Kick-Ass,LGF,48100000,48100000,2010-01-01
66,Green Zone,Uni.,35100000,59800000,2010-01-01
67,Nanny McPhee Returns,Uni.,29000000,64200000,2010-01-01
68,Get Him to the Greek,Uni.,61000000,30300000,2010-01-01
69,Burlesque,SGem,39400000,50100000,2010-01-01
70,The Last Song,BV,63000000,26100000,2010-01-01
71,Dinner for Schmucks,P/DW,73000000,13800000,2010-01-01
72,Marmaduke,Fox,33600000,50100000,2010-01-01
73,Piranha 3D,W/Dim.,25000000,58200000,2010-01-01
74,Oceans,BV,19400000,63200000,2010-01-01
75,Edge of Darkness,WB,43300000,37800000,2010-01-01
76,Vampires Suck,Fox,36700000,43900000,2010-01-01
77,Letters to Juliet,Sum.,53000000,26100000,2010-01-01
78,The Back-Up Plan,CBS,37500000,40000000,2010-01-01
79,If You Are the One 2 (Fei Cheng Wu Rao II),CL,427000,75600000,2010-01-01
80,Diary of a Wimpy Kid,Fox,64000000,11700000,2010-01-01
81,Easy A,SGem,58400000,16600000,2010-01-01
82,Hubble 3D,WB,52400000,21500000,2010-01-01
83,Takers,SGem,57700000,11300000,2010-01-01
84,Tales from Earthsea,BV,48500,68600000,2010-01-01
85,Legion (2010),SGem,40200000,27800000,2010-01-01
86,The American,Focus,35600000,32299999,2010-01-01
87,The Last Exorcism,LGF,41000000,26700000,2010-01-01
88,The Next Three Days,LGF,21100000,46300000,2010-01-01
89,The Girl Who Played with Fire,MBox,7600000,59500000,2010-01-01
90,Skyline,Uni.,21400000,45400000,2010-01-01
91,Hot Tub Time Machine,MGM,50300000,14300000,2010-01-01
92,Devil,Uni.,33600000,29100000,2010-01-01
93,127 Hours,FoxS,18300000,42400000,2010-01-01
94,Tyler Perry's Why Did I Get Married Too?,LGF,60100000,578000,2010-01-01
95,Secretariat,BV,59700000,537000,2010-01-01
96,The Ghost Writer,Sum.,15500000,44700000,2010-01-01
97,Morning Glory,Par.,31000000,29000000,2010-01-01
98,Remember Me,Sum.,19100000,37000000,2010-01-01
99,Cop Out,WB,44900000,10700000,2010-01-01
100,The Crazies,Over.,39100000,15700000,2010-01-01
101,From Paris with Love,LGF,24100000,28700000,2010-01-01
102,Daybreakers,LGF,30100000,21300000,2010-01-01
103,Alpha and Omega,LGF,25100000,25400000,2010-01-01
104,The Switch,Mira.,27800000,22100000,2010-01-01
105,She's Out of My League,Par.,32000000,17800000,2010-01-01
106,Death at a Funeral (2010),SGem,42700000,6300000,2010-01-01
107,How Do You Know,Sony,30200000,18500000,2010-01-01
108,Charlie St. Cloud,Uni.,31200000,17000000,2010-01-01
109,Scott Pilgrim vs. the World,Uni.,31500000,16100000,2010-01-01
110,Heartbreaker,IFC,504000,46900000,2010-01-01
111,The Spy Next Door,LGF,24300000,20900000,2010-01-01
112,"The Good, the Bad, the Weird",IFC,128000,44100000,2010-01-01
113,Machete,Fox,26600000,17500000,2010-01-01
114,The Girl Who Kicked the Hornet's Nest,MBox,5200000,38300000,2010-01-01
115,The Man From Nowhere,CJ,528000,42500000,2010-01-01
116,When in Rome,BV,32700000,10400000,2010-01-01
117,My Name is Khan,FoxS,4000000,38300000,2010-01-01
118,Going the Distance,WB (NL),17800000,24200000,2010-01-01
119,The Concert,Wein.,658000,40500000,2010-01-01
120,Agora,NM,619000,38400000,2010-01-01
121,For Colored Girls,LGF,37700000,17300,2010-01-01
122,Brooklyn's Finest,Over.,27200000,9300000,2010-01-01
123,Furry Vengeance,Sum.,17600000,18600000,2010-01-01
124,Faster,CBS,23200000,12400000,2010-01-01
125,The Kids Are All Right,Focus,20800000,13900000,2010-01-01
126,You Will Meet a Tall Dark Stranger,SPC,3200000,31000000,2010-01-01
127,The Secret in Their Eyes,SPC,6400000,27600000,2010-01-01
128,Avatar: Special Edition,Fox,10700000,22500000,2010-01-01
129,Leap Year,Uni.,25900000,6700000,2010-01-01
130,You Again,BV,25700000,6300000,2010-01-01
131,Mesrine: Killer Instinct,MBox,552000,30500000,2010-01-01
132,The Losers,WB,23600000,5800000,2010-01-01
133,Case 39,ParV,13300000,14900000,2010-01-01
134,Ramona and Beezus,Fox,26200000,1100000,2010-01-01
135,Splice,WB,17000000,9800000,2010-01-01
136,Fair Game (2010),Sum.,9500000,14600000,2010-01-01
137,Let Me In,Over.,12100000,12000000,2010-01-01
138,Mao's Last Dancer,Gold.,4800000,17500000,2010-01-01
139,Just Wright,FoxS,21500000,29900,2010-01-01
140,Our Family Wedding,FoxS,20300000,1200000,2010-01-01
141,My Soul to Take,Uni.,14700000,6200000,2010-01-01
142,71 Into the Fire,JS,177000,20800000,2010-01-01
143,"I Love You, Phillip Morris",RAtt.,2000000,18700000,2010-01-01
144,Country Strong,SGem,20200000,310000,2010-01-01
145,Another Year,SPC,3200000,16500000,2010-01-01
146,Youth in Revolt,W/Dim.,15300000,4400000,2010-01-01
147,Buried,LGF,1000000,18100000,2010-01-01
148,[Rec] 2,Magn.,27800,18500000,2010-01-01
149,Repo Men,Uni.,13800000,4600000,2010-01-01
150,A Prophet (Un prophète),SPC,2100000,15800000,2010-01-01
151,Soul Kitchen,IFC,277000,17600000,2010-01-01
152,Mother (2010),Magn.,552000,16600000,2010-01-01
153,Micmacs,SPC,1300000,15100000,2010-01-01
154,The Nutcracker in 3D,Free,195000,16000000,2010-01-01
155,Sea Rex 3D: Journey to a Prehistoric World,3D,6100000,9900000,2010-01-01
156,I Hate Luv Storys,UTV,848000,14900000,2010-01-01
157,Extraordinary Measures,CBS,12100000,3100000,2010-01-01
158,Somewhere,Focus,1800000,12200000,2010-01-01
159,Winter's Bone,RAtt.,6500000,7300000,2010-01-01
160,The Last Station,SPC,6600000,6900000,2010-01-01
161,Raajneeti,UTV,1500000,11100000,2010-01-01
162,Made in Dagenham,SPC,1100000,11300000,2010-01-01
163,Blue Valentine,Wein.,9700000,2600000,2010-01-01
164,Tamara Drewe,SPC,560000,11400000,2010-01-01
165,Chloe,SPC,3100000,8600000,2010-01-01
166,Looking for Eric,IFC,55800,11500000,2010-01-01
167,The Warrior's Way,Rela.,5700000,5400000,2010-01-01
168,I Am Love,Magn.,5000000,5900000,2010-01-01
169,Jonah Hex,WB,10500000,356000,2010-01-01
170,Harry Brown,Gold.,1800000,8500000,2010-01-01
171,Cyrus,FoxS,7500000,2500000,2010-01-01
172,Conviction,FoxS,6800000,2900000,2010-01-01
173,Get Low,SPC,9200000,518000,2010-01-01
174,Babies,Focus,7300000,2200000,2010-01-01
175,Stone,Over.,1800000,7700000,2010-01-01
176,Peepli Live,UTV,758000,8700000,2010-01-01
177,Never Let Me Go,FoxS,2400000,7000000,2010-01-01
178,Mid-August Lunch,Zeit.,675000,8700000,2010-01-01
179,MacGruber,Uni.,8500000,797000,2010-01-01
180,City Island,Anch.,6700000,1200000,2010-01-01
181,Inside Job,SPC,4300000,3600000,2010-01-01
182,The Joneses,RAtt.,1500000,5500000,2010-01-01
183,Centurion,Magn.,124000,6700000,2010-01-01
184,Animal Kingdom,SPC,1000000,5700000,2010-01-01
185,Nowhere Boy,Wein.,1500000,5100000,2010-01-01
186,It's Kind of a Funny Story,Focus,6400000,128000,2010-01-01
187,"Waiting for ""Superman""",ParV,6400000,9300,2010-01-01
188,Greenberg,Focus,4200000,1900000,2010-01-01
189,Coco Chanel & Igor Stravinsky,SPC,1600000,4099999,2010-01-01
190,Vincere,IFC,619000,5100000,2010-01-01
191,The Illusionist (2010),SPC,2200000,3400000,2010-01-01
192,Exit Through the Gift Shop,PDA,3300000,2000000,2010-01-01
193,Mademoiselle Chambon,Lorb.,532000,4700000,2010-01-01
194,Solitary Man,Anch.,4400000,818000,2010-01-01
195,Rabbit Hole,LGF,2200000,2900000,2010-01-01
196,Vision,Zeit.,435000,4600000,2010-01-01
197,Mother and Child,SPC,1100000,3900000,2010-01-01
198,The Runaways,App.,3600000,1100000,2010-01-01
199,Four Lions,Drft.,305000,4400000,2010-01-01
200,Wild Grass,SPC,404000,4200000,2010-01-01
201,Please Give,SPC,4000000,280000,2010-01-01
202,Monsters,Magn.,237000,4000000,2010-01-01
203,Rare Exports: A Christmas Tale,Osci.,236000,3800000,2010-01-01
204,The Killer Inside Me,IFC,217000,3800000,2010-01-01
205,The Perfect Game,IW,1000000,2800000,2010-01-01
206,To Save a Life,Gold.,3800000,45800,2010-01-01
207,Inspector Bellamy,IFC,108000,3600000,2010-01-01
208,Catfish,Rog.,3200000,242000,2010-01-01
209,Wild Target,Free,109000,3300000,2010-01-01
210,Outside the Law (Hors-la-loi),,96900,3300000,2010-01-01
211,Frozen (2010),Anch.,246000,2900000,2010-01-01
212,Dabangg,Eros,1300000,1700000,2010-01-01
213,Kites,Relbig.,1600000,1300000,2010-01-01
214,Letters to God,Viv.,2800000,60300,2010-01-01
215,Twelve,Hann.,184000,2400000,2010-01-01
216,Tees Maar Khan,UTV,1100000,1400000,2010-01-01
217,Fish Tank,IFC,375000,2000000,2010-01-01
218,Housefull,Eros,1200000,1200000,2010-01-01
219,Golmaal 3,Eros,1100000,935000,2010-01-01
220,After.Life,Anch.,109000,1900000,2010-01-01
221,Cairo Time,IFC,1600000,391000,2010-01-01
222,Flipped,WB,1800000,0,2010-01-01
223,Guzaarish,UTV,1000000,695000,2010-01-01
224,Ondine,Magn.,550000,1100000,2010-01-01
225,Anjaana Anjaani,Eros,855000,761000,2010-01-01
226,John Rabe,Strand,67500,1400000,2010-01-01
227,Restrepo,NGE,1300000,105000,2010-01-01
228,Raavan,Relbig.,709000,648000,2010-01-01
229,The City of Your Final Destination,Scre.,493000,859000,2010-01-01
230,It's a Wonderful Afterlife,UTV,0,1300000,2010-01-01
231,Ajami,Kino,622000,669000,2010-01-01
232,Army of Crime,Lorb.,37000,1200000,2010-01-01
233,Lebanon,SPC,368000,830000,2010-01-01
234,Howl,Osci.,617000,566000,2010-01-01
235,Videocracy,Kino,23700,1200000,2010-01-01
236,When You're Strange,Abr.,246000,901000,2010-01-01
237,The Salvation Poem (Poema de Salvacion),CZ,915000,183000,2010-01-01
238,Casino Jack,ATO,1000000,40700,2010-01-01
239,Leaving,IFC,176000,893000,2010-01-01
240,Khatta Meetha,Eros,542000,499000,2010-01-01
241,We Are Family,UTV,638000,393000,2010-01-01
242,Leaves of Grass,First,70100,949000,2010-01-01
243,North Face,MBox,711000,216000,2010-01-01
244,Creation,NM,341000,555000,2010-01-01
245,No One Knows About Persian Cats,IFC,81800,798000,2010-01-01
246,Carlos,IFC,146000,726000,2010-01-01
247,Hideaway (Le Refuge),Strand,34500,837000,2010-01-01
248,The Disappearance of Alice Creed,Anch.,167000,701000,2010-01-01
249,Break Ke Baad,Relbig.,428000,389000,2010-01-01
250,Veer (2010),Eros,527000,277000,2010-01-01
251,Life During Wartime,IFC,281000,487000,2010-01-01
252,Enter the Void,IFC,336000,418000,2010-01-01
253,The Secret of Kells,GK,677000,62700,2010-01-01
254,The Polar Express (IMAX re-issue 2010),WB,673000,0,2010-01-01
255,No Problem,Eros,285000,369000,2010-01-01
256,All Good Things,Magn.,582000,62500,2010-01-01
257,Jack Goes Boating,Over.,542000,77600,2010-01-01
258,Holy Rollers,FInd.,303000,305000,2010-01-01
259,Chain Letter,NFC,139000,447000,2010-01-01
260,I Spit on Your Grave,Anch.,93100,480000,2010-01-01
261,I'm Still Here,Magn.,409000,160000,2010-01-01
262,Salt of this Sea,Lorb.,11700,545000,2010-01-01
263,Undertow (2010),TFC,109000,393000,2010-01-01
264,Father of My Children,IFC,144000,335000,2010-01-01
265,The Greatest (2010),Pala.,115000,359000,2010-01-01
266,The Extra Man,Magn.,453000,4500,2010-01-01
267,Tiny Furniture,IFC,392000,0,2010-01-01
268,Dogtooth,Kino,110000,274000,2010-01-01
269,Grease (Sing-a-Long re-issue),Par.,366000,0,2010-01-01
270,The Tempest,Mira.,278000,68700,2010-01-01
271,The Good Heart,Magn.,20900,323000,2010-01-01
272,Formosa Betrayed,Scre.,225000,101000,2010-01-01
273,Red Hill,Strand,21100,300000,2010-01-01
274,Welcome to the Rileys,Gold.,159000,158000,2010-01-01
275,"A Woman, A Gun and A Noodle Shop",SPC,191000,121000,2010-01-01
276,The Girl on the Train,Strand,208000,97100,2010-01-01
277,Mesrine: Public Enemy No. 1,MBox,275000,28100,2010-01-01
278,44 Inch Chest,Imag.,39000,255000,2010-01-01
279,Karthik Calling Karthik,Eros,286000,7100,2010-01-01
280,Last Train Home,Zeit.,288000,0,2010-01-01
281,Eyes Wide Open,NAV,26300,250000,2010-01-01
282,Waste Land,Arth.,188000,88700,2010-01-01
283,South of the Border,CLS,199000,70800,2010-01-01
284,Human Centipede,IFC,181000,70700,2010-01-01
285,"Lovely, Still",Mont.,128000,106000,2010-01-01
286,The Girl (Flickan),Olive,2200,229000,2010-01-01
287,Sweetgrass,CGld,207000,0,2010-01-01
288,Bitch Slap,Free,17400,182000,2010-01-01
289,Chance Pe Dance,UTV,169000,24300,2010-01-01
290,Client 9: The Rise and Fall of Eliot Spitzer,Magn.,189000,3500,2010-01-01
291,Casino Jack and the United States of Money,Magn.,177000,0,2010-01-01
292,Perrier's Bounty,IFC,800,167000,2010-01-01
293,Around a Small Mountain,CGld,33200,131000,2010-01-01
294,Spring Fever,Strand,10800,150000,2010-01-01
295,The Eclipse,Magn.,133000,26400,2010-01-01
296,George A. Romero's Survival of the Dead,Magn.,102000,41500,2010-01-01
297,The Romantics,FOAK,107000,17300,2010-01-01
298,Celine: Through the Eyes of the World,Sony,0,119000,2010-01-01
299,Freakonomics,Magn.,101000,16400,2010-01-01
300,Saint John of Las Vegas,IVP,103000,9100,2010-01-01
301,Band Baaja Baaraat,Yash,43800,60700,2010-01-01
302,White Lion,Scre.,0,99600,2010-01-01
303,Kisses,Osci.,81700,15300,2010-01-01
304,Waking Sleeping Beauty,BV,80700,4200,2010-01-01
305,Enemies of the People,ICir,73200,6400,2010-01-01
306,Badmaash Company,Yash,0,64400,2010-01-01
307,Hadewijch,IFC,5000,57500,2010-01-01
308,Alamar,FM,61600,0,2010-01-01
309,As Good as Dead,First,2000,53600,2010-01-01
310,Inhale,IFC,4100,51000,2010-01-01
311,Hatchet 2,Vita.,52600,0,2010-01-01
312,District B13: Ultimatum,Magn.,36100,16200,2010-01-01
313,GasLand,WOW,30800,18600,2010-01-01
314,Boogie Woogie,IFC,2600,44900,2010-01-01
315,Come Undone (2010),FM,10000,31300,2010-01-01
316,The Red Baron,Mont.,37200,3100,2010-01-01
317,Bluebeard,Strand,33500,5200,2010-01-01
318,Daddy Longlegs,IFC,21800,11500,2010-01-01
319,Living in Emergency,Truly,32200,0,2010-01-01
320,Nenette,Kino,18000,5400,2010-01-01
321,Picture Me,Strand,12000,10400,2010-01-01
322,The Thorn in the Heart,Osci.,7400,10500,2010-01-01
323,The Taqwacores,Strand,11400,0,2010-01-01
324,Cherry,Abr.,11400,0,2010-01-01
325,Terkel in Trouble,Indic.,10800,0,2010-01-01
326,Kimjongilia,Lorb.,4400,0,2010-01-01
327,Aashayein (Wishes),Relbig.,0,3800,2010-01-01
328,Harry Potter and the Deathly Hallows Part 2,WB,381000000,960500000,2011-01-01
329,Transformers: Dark of the Moon,P/DW,352400000,771400000,2011-01-01
330,Pirates of the Caribbean: On Stranger Tides,BV,241100000,804600000,2011-01-01
331,The Twilight Saga: Breaking Dawn Part 1,Sum.,281300000,430900000,2011-01-01
332,Mission: Impossible - Ghost Protocol,Par.,209400000,485300000,2011-01-01
333,Kung Fu Panda 2,P/DW,165200000,500400000,2011-01-01
334,Fast Five,Uni.,209800000,416300000,2011-01-01
335,The Hangover Part II,WB,254500000,332300000,2011-01-01
336,The Smurfs,Sony,142600000,421100000,2011-01-01
337,Cars 2,BV,191500000,370700000,2011-01-01
338,Puss in Boots,P/DW,149300000,405700000,2011-01-01
339,Sherlock Holmes: A Game of Shadows,WB,186800000,358600000,2011-01-01
340,Rio,Fox,143600000,341000000,2011-01-01
341,Rise of the Planet of the Apes,Fox,176800000,305000000,2011-01-01
342,Thor,Par.,181000000,268300000,2011-01-01
343,The Adventures of Tintin,Par.,77600000,296400000,2011-01-01
344,Captain America: The First Avenger,Par.,176700000,193900000,2011-01-01
345,X-Men: First Class,Fox,146400000,207200000,2011-01-01
346,Alvin and the Chipmunks: Chipwrecked,Fox,133100000,209600000,2011-01-01
347,Real Steel,BV,85500000,213800000,2011-01-01
348,Bridesmaids,Uni.,169100000,119300000,2011-01-01
349,Super 8,Par.,127000000,133100000,2011-01-01
350,Rango,Par.,123500000,122200000,2011-01-01
351,The Girl with the Dragon Tattoo (2011),Sony,102500000,130100000,2011-01-01
352,The Green Hornet,Sony,98800000,129000000,2011-01-01
353,Immortals,Rela.,83500000,143400000,2011-01-01
354,Green Lantern,WB,116600000,103300000,2011-01-01
355,The Help,BV,169700000,46900000,2011-01-01
356,Bad Teacher,Sony,100300000,115900000,2011-01-01
357,Just Go With It,Sony,103000000,111900000,2011-01-01
358,Battle: Los Angeles,Sony,83600000,128300000,2011-01-01
359,Horrible Bosses,WB (NL),117500000,92100000,2011-01-01
360,Paranormal Activity 3,Par.,104000000,103000000,2011-01-01
361,Gnomeo and Juliet,BV,100000000,94000000,2011-01-01
362,Mr. Popper's Penguins,Fox,68200000,119100000,2011-01-01
363,Hugo,Par.,73900000,111900000,2011-01-01
364,The Lion King (in 3D),BV,94200000,91300000,2011-01-01
365,Hop,Uni.,108100000,75900000,2011-01-01
366,War Horse,BV,79900000,97700000,2011-01-01
367,The Descendants,FoxS,82600000,94700000,2011-01-01
368,Cowboys & Aliens,Uni.,100200000,74600000,2011-01-01
369,In Time,Fox,37500000,136400000,2011-01-01
370,Zookeeper,Sony,80400000,89500000,2011-01-01
371,The Muppets,BV,88600000,76600000,2011-01-01
372,Limitless,Rela.,79200000,82600000,2011-01-01
373,Johnny English Reborn,Uni.,8300000,151800000,2011-01-01
374,Final Destination 5,WB (NL),42600000,115300000,2011-01-01
375,Tower Heist,Uni.,78000000,74900000,2011-01-01
376,Midnight in Paris,SPC,56800000,94300000,2011-01-01
377,Happy Feet Two,WB,64000000,86400000,2011-01-01
378,I Am Number Four,BV,55100000,94800000,2011-01-01
379,Jack and Jill,Sony,74200000,75500000,2011-01-01
380,Friends with Benefits,SGem,55800000,93700000,2011-01-01
381,No Strings Attached,Par.,70700000,78600000,2011-01-01
382,Arthur Christmas,Sony,46500000,101000000,2011-01-01
383,Source Code,Sum.,54700000,92600000,2011-01-01
384,"Crazy, Stupid, Love.",WB,84400000,58500000,2011-01-01
385,New Year's Eve,WB (NL),54500000,87500000,2011-01-01
386,Contagion,WB,75700000,59800000,2011-01-01
387,The Artist,Wein.,44700000,88800000,2011-01-01
388,The Three Musketeers (2011),Sum.,20400000,111900000,2011-01-01
389,Unknown,WB,63700000,67099999,2011-01-01
390,The Adjustment Bureau,Uni.,62500000,65400000,2011-01-01
391,We Bought a Zoo,Fox,75600000,44500000,2011-01-01
392,Water for Elephants,Fox,58700000,58400000,2011-01-01
393,The Iron Lady,Wein.,30000000,84900000,2011-01-01
394,Moneyball,Sony,75600000,34600000,2011-01-01
395,Sanctum,Uni.,23200000,85400000,2011-01-01
396,Justin Bieber: Never Say Never,Par.,73000000,26000000,2011-01-01
397,Paul,Uni.,37400000,60600000,2011-01-01
398,Scream 4,W/Dim.,38200000,59000000,2011-01-01
399,Insidious,FD,54000000,43000000,2011-01-01
400,The Rite,WB (NL),33000000,63000000,2011-01-01
401,Dolphin Tale,WB,72300000,23100000,2011-01-01
402,Season of the Witch,Rela.,24800000,66800000,2011-01-01
403,Sucker Punch,WB,36400000,53400000,2011-01-01
404,Red Riding Hood,WB,37700000,51500000,2011-01-01
405,Spy Kids: All the Time in the World,W/Dim.,38500000,47000000,2011-01-01
406,J. Edgar,WB,37300000,47600000,2011-01-01
407,Hall Pass,WB (NL),45100000,38100000,2011-01-01
408,"Big Mommas: Like Father, Like Son",Fox,37900000,44800000,2011-01-01
409,Abduction,LGF,28100000,54000000,2011-01-01
410,"Tinker, Tailor, Soldier, Spy",Focus,24100000,56500000,2011-01-01
411,Priest,SGem,29100000,49200000,2011-01-01
412,Drive (2011),FD,35100000,41100000,2011-01-01
413,The Mechanic,CBS,29100000,47000000,2011-01-01
414,The Ides of March,Sony,41000000,35000000,2011-01-01
415,The Change-Up,Uni.,37100000,38400000,2011-01-01
416,The Lincoln Lawyer,LGF,58000000,17000000,2011-01-01
417,Diary of a Wimpy Kid: Rodrick Rules,Fox,52700000,19700000,2011-01-01
418,Larry Crowne,Uni.,35600000,36400000,2011-01-01
419,The Dilemma,Uni.,48500000,21200000,2011-01-01
420,The Darkest Hour,Sum.,21400000,43200000,2011-01-01
421,Hanna,Focus,40300000,23500000,2011-01-01
422,Footloose (2011),Par.,51800000,11700000,2011-01-01
423,Elite Squad: The Enemy Within,Vari.,100000,62900000,2011-01-01
424,Colombiana,TriS,36700000,24300000,2011-01-01
425,Something Borrowed,WB,39000000,21100000,2011-01-01
426,One Day,Focus,13800000,45500000,2011-01-01
427,Beginning of the Great Revival,CL,151000,58200000,2011-01-01
428,Killer Elite,ORF,25100000,31300000,2011-01-01
429,Extremely Loud & Incredibly Close,WB,31800000,23400000,2011-01-01
430,The Tree of Life,FoxS,13300000,41000000,2011-01-01
431,Tyler Perry's Madea's Big Happy Family,LGF,53300000,816000,2011-01-01
432,Detective Dee and the Mystery of the Phantom Flame,IM,460000,51300000,2011-01-01
433,Winnie the Pooh,BV,26700000,23200000,2011-01-01
434,Conan the Barbarian (2011),LGF,21300000,27500000,2011-01-01
435,Soul Surfer,TriS,43900000,3200000,2011-01-01
436,War of the Arrows,CJ,251000,45800000,2011-01-01
437,Arthur (2011),WB,33000000,12700000,2011-01-01
438,The Debt,Focus,31200000,14500000,2011-01-01
439,Beastly,CBS,27900000,15300000,2011-01-01
440,Of Gods and Men,SPC,4000000,38200000,2011-01-01
441,Born to Be Wild (IMAX),WB,25900000,15600000,2011-01-01
442,Evangelion 2.0: You Can (Not) Advance,Elev.,134000,41000000,2011-01-01
443,Fright Night (2011),BV,18300000,22700000,2011-01-01
444,30 Minutes or Less,Sony,37100000,3500000,2011-01-01
445,The Roommate,SGem,37300000,3200000,2011-01-01
446,Shark Night 3D,Rela.,18900000,21300000,2011-01-01
447,Monte Carlo,Fox,23200000,16500000,2011-01-01
448,50/50,Sum.,35000000,4200000,2011-01-01
449,Mars Needs Moms,BV,21400000,17600000,2011-01-01
450,Dream House,Uni.,21300000,17200000,2011-01-01
451,Jumping the Broom,TriS,37300000,415000,2011-01-01
452,Don't Be Afraid of the Dark,FD,24000000,12900000,2011-01-01
453,RA One,Eros,2500000,33400000,2011-01-01
454,A Very Harold & Kumar 3D Christmas,WB,35100000,326000,2011-01-01
455,My Week with Marilyn,Wein.,14600000,20500000,2011-01-01
456,The Sitter,Fox,30400000,4500000,2011-01-01
457,Jane Eyre,Focus,11200000,23500000,2011-01-01
458,Courageous,TriS,34500000,0,2011-01-01
459,Shaolin,Vari.,66100,33600000,2011-01-01
460,African Cats,BV,15400000,15400000,2011-01-01
461,The Skin I Live In,SPC,3200000,27700000,2011-01-01
462,I Don't Know How She Does It,Wein.,9700000,20900000,2011-01-01
463,What's Your Number?,Fox,14000000,16399999,2011-01-01
464,Drive Angry,Sum.,10700000,18200000,2011-01-01
465,Carnage (2011),SPC,2500000,25100000,2011-01-01
466,A Dangerous Method,SPC,5700000,21800000,2011-01-01
467,The Thing (2011),Uni.,16900000,10500000,2011-01-01
468,The Eagle,Focus,19500000,7600000,2011-01-01
469,Legend of the Fist: The Return of Chen Zhen,Vari.,50400,26500000,2011-01-01
470,Apollo 18,W/Dim.,17700000,7900000,2011-01-01
471,Biutiful,RAtt.,5100000,20000000,2011-01-01
472,Your Highness,Uni.,21600000,3300000,2011-01-01
473,Our Idiot Brother,Wein.,24800000,0,2011-01-01
